NAME,TYPE,PACKAGE,PERSONAL DESKTOP,PERSONAL LAPTOP,WORK LAPTOP,SERVER,DISABLED
Bottles,flatpak,com.usebottles.bottles,y,,,,
Brave Browser,flatpak,com.brave.Browser,y,y,y,,
Camera,flatpak,org.gnome.Snapshot,y,y,y,,
Chrome,flatpak,com.google.Chrome,y,y,y,,
Chromium,flatpak,org.chromium.Chromium,y,y,y,,
ClamTK,flatpak,com.gitlab.davem.ClamTk,y,y,y,,
Clapper,flatpak,com.github.rafostar.Clapper,y,y,,,
Discord,flatpak,com.discordapp.Discord,y,y,y,,
Disk Usage Analyzer,flatpak,org.gnome.baobab,y,y,y,,
draw.io Desktop,flatpak,com.jgraph.drawio.desktop,y,y,y,,
EasyTAG,flatpak,org.gnome.EasyTAG,y,,,,
Filelight,flatpak,org.kde.filelight,y,y,y,,
FileZilla,flatpak,org.filezillaproject.Filezilla,y,y,y,,
Firefox,flatpak,org.mozilla.firefox,y,y,y,,
Flatseal,flatpak,com.github.tchx84.Flatseal,y,y,y,,
Flameshot,flatpak,org.flameshot.Flameshot,y,y,y,,
GIMP,flatpak,org.gimp.GIMP,y,y,y,,
GitHub Desktop,flatpak,io.github.shiftey.Desktop,y,y,y,,
GitKraken,flatpak,com.axosoft.GitKraken,y,y,y,,
HTTPie,flatpak,io.httpie.Httpie,y,y,y,,
Joplin,flatpak,net.cozic.joplin_desktop,y,y,y,,
Kamoso,flatpak,org.kde.kamoso,y,y,y,,
Kid3,flatpak,org.kde.kid3,y,,,,
LibreOffice,flatpak,org.libreoffice.LibreOffice,y,y,y,,
LibreWolf,flatpak,io.gitlab.librewolf-community,y,y,y,,
Lutris,flatpak,net.lutris.Lutris,y,,,,
MediaInfo,flatpak,net.mediaarea.MediaInfo,y,,,,
Meld,flatpak,org.gnome.meld,y,y,y,,
MPV,flatpak,io.mpv.Mpv,y,y,y,,
Neovim,flatpak,io.neovim.nvim,y,y,y,,
Okular,flatpak,org.kde.okular,y,y,y,,
Picard,flatpak,org.musicbrainz.Picard,y,,,,
Plexamp,flatpak,com.plexamp.Plexamp,y,y,y,,
Plex Desktop,flatpak,tv.plex.PlexDesktop,y,y,y,,
Pods,flatpak,com.github.marhkb.Pods,y,y,y,,
Postman,flatpak,com.getpostman.Postman,y,y,y,,
ProtonPlus,flatpak,com.vysp3r.ProtonPlus,y,,,,
Protontricks,flatpak,com.github.Matoking.protontricks,y,,,,
ProtonUp-Qt,flatpak,net.davidotek.pupgui2,y,,,,
Puddletag,flatpak,net.puddletag.puddletag,y,,,,
Qalculate,flatpak,io.github.Qalculate,y,y,y,,
qBittorrent,flatpak,org.qbittorrent.qBittorrent,y,y,y,,
Skype,flatpak,com.skype.Client,y,,,,
Slack,flatpak,com.slack.Slack,y,y,y,,
Steam,flatpak,com.valvesoftware.Steam,y,,,,
Strawberry Music Player,flatpak,org.strawberrymusicplayer.strawberry,y,,,,
TigerVNC Viewer,flatpak,org.tigervnc.vncviewer,y,y,y,,
Tor Browser Launcher,flatpak,com.github.micahflee.torbrowser-launcher,y,,,,
VSCodium,flatpak,com.vscodium.codium,y,y,y,,
Visual Studio Code,flatpak,com.visualstudio.code,y,y,y,,
VLC,flatpak,org.videolan.VLC,y,y,y,,
WezTerm,flatpak,org.wezfurlong.wezterm,y,y,y,,
Wireshark,flatpak,org.wireshark.Wireshark,y,,,,
Zoom,flatpak,us.zoom.Zoom,y,y,y,,
