NAME,PACKAGE,PERSONAL DESKTOP,PERSONAL LAPTOP,WORK LAPTOP,SERVER,DISABLED
Gradle,gradle,y,y,y,y,
Groovy,groovy,y,y,y,y,
GroovyServ,groovyserv,y,y,y,y,
JMeter,jmeter,y,y,y,y,
JReleaser,jreleaser,y,y,y,y,
Kotlin,kotlin,y,y,y,y,
Maven Central Search,mcs,y,y,y,y,
Maven Daemon,mvnd,y,y,y,y,
Maven,maven,y,y,y,y,
Micronaut,micronaut,y,y,y,y,
Pomchecker,pomchecker,y,y,y,y,
Quarkus,quarkus,y,y,y,y,
sbt,sbt,y,y,y,y,
Scala CLI,scalacli,y,y,y,y,
Scala,scala,y,y,y,y,
Spark,spark,y,y,y,y,
Spring Boot,springboot,y,y,y,y,
VisualVM,visualvm,y,y,y,,
